Name,Assign,Complete,Section,Status,Tag
即将安装电梯,,No,,广州林业局宿舍单位,
陈家祠 1 号线地铁站,,No,,广州林业局宿舍单位,
附近商场，市场设施齐全,,No,,广州林业局宿舍单位,
两房一厅,,No,,广州林业局宿舍单位,
总价 265W,,No,,广州林业局宿舍单位,
3.58 W/平方米,,No,,广州林业局宿舍单位,
面积 73.4 平方米,,No,,广州林业局宿舍单位,
普通学位,,No,,广州林业局宿舍单位,
广州林业局宿舍,,No,,广州林业局宿舍单位,
中山七路 343 号,,No,,广州林业局宿舍单位,
环市路学位,,No,,三荣大厦,
5.39 W/平方米,,No,,三荣大厦,
面积 66.73 平方米,,No,,三荣大厦,
总价 360W,,No,,三荣大厦,
23楼,,No,,三荣大厦,
缺点：下面有火车经过,,No,,三荣大厦,
商贷年利率 5.6%,,No,,三荣大厦,
面积 98.72 平方米,,No,,茂林苑,
总价 235W,,No,,茂林苑,
2.38 W/平方米,,No,,茂林苑,
首付 130W,,No,,三荣大厦,
亲贷年利率 3%,,No,,茂林苑,
亲贷 105W / 180个月 / 月供 7251.11,,No,,茂林苑,
首付 130W,,No,,茂林苑,
商贷 230W / 360个月 / 月供 13059.15,,No,,三荣大厦,
近淘金路地铁,,No,,三荣大厦,
近华侨外国语学校,,No,,三荣大厦,
情况1: 长期自住，以后开车上班 （勉强可以考虑）,,No,,茂林苑,
情况2: 长期自住，以后在学校附近租房 （不太接受）,,No,,茂林苑,
情况3: 不自住，出租，5年后卖出换房子（可接受）,,No,,茂林苑,
情况1: 长期自住，以后不再需要换房子 （最理想）,,No,,三荣大厦,
公贷款 100W / 商贷 130W / 360个月 / 月供 11815.09,,No,,三荣大厦,
公积金贷年利率 3.25%,,No,,三荣大厦,
缺点：离芳村地铁站，步行20分钟,,No,,茂林苑,
缺点：离华侨外国语小学，公交车需要1小时,,No,,茂林苑,
公贷款 60W / 商贷 170W / 360个月 / 月供 12370.58,,No,,三荣大厦,