Name,Assign,Attachments,Complete,Due,Section,Tag
Agile,,,No,,准备工作,
What did you do to lead your team?,,,No,,面试题,
Introduction,,,No,,面试题,
Why are you in job research?,,,No,,面试题,
Can you tell me something about your current company?,,,No,,面试题,
What do you know about our company? (Snap / Bitmoji),,,No,,面试题,
How did you find out this job?,,,No,,面试题,
When can you start?,,,No,,面试题,
What are your salary expectations?,,,No,,面试题,
What are your strengths?,,,No,,面试题,
What are my weakness?,,,No,,面试题,
Do you have any question?,,,No,,面试题,
FizzBuzz,,,No,,技术面试题,