Name,Tags,数据表,当前坐标系,修改后坐标系,备注
室外地图,Map,-,gcj02,gcj02,"使用了 VectorTile, 底图没办法做到动态偏移"
空间 space,Map,t_space,gcj02,wgs84,原始CAD地图一般基于WGS84数据，保持统一
楼层 floor,Map,t_floor,gcj02,wgs84,同上
多边形 polygon,Map,t_polygon,gcj02,wgs84,同上
兴趣点 poi,Map,t_poi,gcj02,wgs84,同上
模型 scenegraph,Map,t_scenegraph,gcj02,wgs84,同上
导航路线 route,Map,t_route,gcj02,gcj02,围栏需要在gcj02下画的多边形
基站 Anchor,Device,t_anchor（存坐标点）,gcj02,wgs84,基站位置可能跟定位对象有关，所以最好选择与t_position一致的坐标系
摄像头 Camera,Device,t_camera（存坐标点）,gcj02,gcj02,摄像头可能会需要根据摄像头位置触发事件，所以最好选择与t_position一致的坐标系
定位对象位置 Position,Position,t_position,gcj02,wgs84,"位置需要保留原始x,y数据和 wgs84数据"
告警 Alarm,Position,t_alarm,gcj02,wgs84,告警发生的位置就是定位对象触发时所在位置，所以最好选择与t_position一致的坐标系
围栏 Fence,Position,t_fence,gcj02,gcj02,"1.需要同过比较定位对象和围栏位置来触发告警，所以最好选择与t_position一致的坐标系
2.围栏需要在gcj02下画的多边形"